Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8, Oil PSI,Fuel PSI,Injector Over Current #1,Injector Over Current #2,Injector Over Current #3,Injector Over Current #4,Injector Over Current #5,Injector Over Current #6,Injector Over Current #7,Injector Over Current #8,Coil Over Current #1,Coil Over Current #2,Coil Over Current #3,Coil Over Current #4,Coil Over Current #5,Coil Over Current #6,Coil Over Current #7,Coil Over Current #8,System Temperature (F),Sensor Error,Driven Wheel Speed #1 (MPH),Driven Wheel Speed #2 (MPH),Avg Driven Wheel Speed (MPH),Non Driven Wheel Speed #1 (MPH),Non Driven Wheel Speed #2 (MPH),Avg Non Driven Wheel Speed (MPH),Percent Slip,Measured AFR #1,Measured AFR #2,Target AFR,Lambda/AFR Status,Lambda/AFR STF #1 (%),Lambda/AFR STF #2 (%),Lambda/AFR LTF (%),
0.000,644,77.2,89.8,0.0,0,14.17,17.0,11.60,9.30,0.0,527.3,1,1,1,0,0,0,0,0,0.27,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.033,1105,77.2,89.8,0.0,0,14.18,8.0,11.80,7.11,3.8,527.9,1,1,1,0,0,0,0,0,0.25,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.063,1105,77.2,89.8,0.0,0,14.22,23.0,11.80,7.11,3.8,527.9,1,1,1,0,0,0,0,0,0.20,47.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.090,915,77.2,89.8,0.0,0,14.06,15.0,11.90,7.45,6.9,528.4,1,1,1,0,0,0,0,0,0.22,47.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.121,915,77.2,89.8,0.5,19,14.02,-14.0,12.00,7.45,6.9,528.4,1,1,1,0,0,0,0,0,0.34,48.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.153,915,77.2,89.8,2.7,104,14.36,12.0,11.80,7.45,6.9,528.4,1,1,1,0,0,0,0,0,0.15,48.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.180,672,77.2,89.8,6.8,152,14.26,24.0,11.80,7.48,5.7,528.8,1,1,1,0,0,0,0,0,0.30,47.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39195,100.0,100.0,100.0,
0.210,672,77.2,89.8,10.5,130,14.29,26.0,11.90,7.48,5.7,528.8,1,1,1,0,0,0,0,0,0.67,47.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.243,964,77.2,89.8,15.4,147,14.29,25.0,12.10,7.51,4.2,529.1,1,1,1,0,0,0,0,0,0.77,48.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
0.270,964,77.2,89.8,18.5,77,14.16,-6.0,12.20,7.51,4.2,529.1,1,1,1,0,0,0,0,0,1.22,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70,14.70,14.70,39193,100.0,100.0,100.0,
